product,day_class,precision,recall,n_pred,n_true,tp
urea,0,0.0,0.0,14,1,0
urea,1,0.6808510638297872,0.49230769230769234,47,65,32
urea,2,0.14285714285714285,0.125,21,24,3
urea,3,0.0,,2,0,0
urea,4,0.0,,6,0,0
dap,0,0.0,0.0,10,1,0
dap,1,0.782608695652174,0.5070422535211268,46,71,36
dap,2,0.058823529411764705,0.06666666666666667,17,15,1
dap,3,0.0,0.0,13,2,0
dap,4,0.0,0.0,4,1,0
mop,0,0.0,0.0,18,1,0
mop,1,0.6458333333333334,0.5344827586206896,48,58,31
mop,2,0.23529411764705882,0.19047619047619047,17,21,4
mop,3,0.0,0.0,6,7,0
mop,4,0.0,0.0,1,3,0
