product,true_days,direction_accuracy,n,true_up,true_flat,true_down,pred_up,pred_flat,pred_down
urea,0,0.0,1,0,1,0,1,0,0
urea,1,0.46153846153846156,65,20,11,34,18,11,36
urea,2,0.3333333333333333,24,12,5,7,10,3,11
urea,3,,0,0,0,0,0,0,0
urea,4,,0,0,0,0,0,0,0
dap,0,0.0,1,0,1,0,1,0,0
dap,1,0.323943661971831,71,26,16,29,29,6,36
dap,2,0.3333333333333333,15,1,8,6,6,4,5
dap,3,0.0,2,0,2,0,1,0,1
dap,4,0.0,1,1,0,0,0,0,1
mop,0,0.0,1,0,1,0,1,0,0
mop,1,0.4482758620689655,58,16,19,23,23,11,24
mop,2,0.38095238095238093,21,7,2,12,4,6,11
mop,3,0.2857142857142857,7,4,0,3,2,1,4
mop,4,0.3333333333333333,3,3,0,0,1,0,2
