product,true_days,n,precision_flat,n_pred_flat,tp_flat,precision_up,n_pred_up,tp_up,precision_down,n_pred_down,tp_down,recall_flat,n_true_flat,recall_up,n_true_up,recall_down,n_true_down
urea,0,1,,0,0,0.0,1,0,,0,0,0.0,1,,0,,0
urea,1,65,0.2727272727272727,11,3,0.3888888888888889,18,7,0.5555555555555556,36,20,0.2727272727272727,11,0.35,20,0.5882352941176471,34
urea,2,24,0.0,3,0,0.5,10,5,0.2727272727272727,11,3,0.0,5,0.4166666666666667,12,0.42857142857142855,7
urea,3,0,,0,0,,0,0,,0,0,,0,,0,,0
urea,4,0,,0,0,,0,0,,0,0,,0,,0,,0
dap,0,1,,0,0,0.0,1,0,,0,0,0.0,1,,0,,0
dap,1,71,0.16666666666666666,6,1,0.3103448275862069,29,9,0.3611111111111111,36,13,0.0625,16,0.34615384615384615,26,0.4482758620689655,29
dap,2,15,0.75,4,3,0.0,6,0,0.4,5,2,0.375,8,0.0,1,0.3333333333333333,6
dap,3,2,,0,0,0.0,1,0,0.0,1,0,0.0,2,,0,,0
dap,4,1,,0,0,,0,0,0.0,1,0,,0,0.0,1,,0
mop,0,1,,0,0,0.0,1,0,,0,0,0.0,1,,0,,0
mop,1,58,0.5454545454545454,11,6,0.391304347826087,23,9,0.4583333333333333,24,11,0.3157894736842105,19,0.5625,16,0.4782608695652174,23
mop,2,21,0.0,6,0,0.25,4,1,0.6363636363636364,11,7,0.0,2,0.14285714285714285,7,0.5833333333333334,12
mop,3,7,0.0,1,0,0.5,2,1,0.25,4,1,,0,0.25,4,0.3333333333333333,3
mop,4,3,,0,0,1.0,1,1,0.0,2,0,,0,0.3333333333333333,3,,0
