product,true_days,n,precision_flat,n_pred_flat,tp_flat,precision_up,n_pred_up,tp_up,precision_down,n_pred_down,tp_down,recall_flat,n_true_flat,recall_up,n_true_up,recall_down,n_true_down,direction_accuracy,days_class_accuracy,flat_threshold,flat_threshold_pct
urea,0,2,,0,0,,0,0,0.0,2,0,0.0,2,,0,,0,0.0,0.0,0.01,1.0
urea,1,80,0.2727272727272727,11,3,0.4,25,10,0.5909090909090909,44,26,0.21428571428571427,14,0.35714285714285715,28,0.6842105263157895,38,0.4875,0.725,0.01,1.0
urea,2,27,0.0,3,0,0.4444444444444444,9,4,0.13333333333333333,15,2,0.0,5,0.26666666666666666,15,0.2857142857142857,7,0.2222222222222222,0.14814814814814814,0.01,1.0
urea,3,1,,0,0,,0,0,0.0,1,0,,0,0.0,1,,0,0.0,0.0,0.01,1.0
urea,4,1,,0,0,,0,0,0.0,1,0,,0,0.0,1,,0,0.0,0.0,0.01,1.0
dap,0,2,,0,0,0.0,1,0,0.0,1,0,0.0,2,,0,,0,0.0,0.0,0.01,1.0
dap,1,84,0.3181818181818182,22,7,0.36,25,9,0.35135135135135137,37,13,0.3888888888888889,18,0.2647058823529412,34,0.40625,32,0.34523809523809523,0.7857142857142857,0.01,1.0
dap,2,21,0.25,4,1,0.0,4,0,0.3076923076923077,13,4,0.1111111111111111,9,0.0,3,0.4444444444444444,9,0.23809523809523808,0.23809523809523808,0.01,1.0
dap,3,2,1.0,1,1,,0,0,0.0,1,0,0.5,2,,0,,0,0.5,0.0,0.01,1.0
dap,4,2,0.0,1,0,,0,0,0.0,1,0,,0,0.0,2,,0,0.0,0.0,0.01,1.0
mop,0,2,1.0,1,1,0.0,1,0,,0,0,0.5,2,,0,,0,0.5,0.0,0.01,1.0
mop,1,68,0.3333333333333333,9,3,0.28,25,7,0.38235294117647056,34,13,0.13636363636363635,22,0.3684210526315789,19,0.48148148148148145,27,0.3382352941176471,0.7058823529411765,0.01,1.0
mop,2,28,0.16666666666666666,6,1,0.625,8,5,0.7142857142857143,14,10,0.3333333333333333,3,0.5555555555555556,9,0.625,16,0.5714285714285714,0.25,0.01,1.0
mop,3,8,,0,0,0.5,4,2,0.25,4,1,,0,0.4,5,0.3333333333333333,3,0.375,0.0,0.01,1.0
mop,4,5,0.0,3,0,1.0,1,1,0.0,1,0,,0,0.25,4,0.0,1,0.2,0.0,0.01,1.0
urea,0,2,,0,0,,0,0,0.0,2,0,0.0,2,,0,,0,0.0,0.0,0.02,2.0
urea,1,78,0.36363636363636365,11,4,0.34782608695652173,23,8,0.5227272727272727,44,23,0.17391304347826086,23,0.38095238095238093,21,0.6764705882352942,34,0.44871794871794873,0.717948717948718,0.02,2.0
urea,2,29,0.0,3,0,0.3,10,3,0.0625,16,1,0.0,14,0.3333333333333333,9,0.16666666666666666,6,0.13793103448275862,0.20689655172413793,0.02,2.0
urea,3,1,,0,0,,0,0,0.0,1,0,0.0,1,,0,,0,0.0,0.0,0.02,2.0
urea,4,1,,0,0,0.0,1,0,,0,0,0.0,1,,0,,0,0.0,0.0,0.02,2.0
dap,0,2,,0,0,0.0,1,0,0.0,1,0,0.0,2,,0,,0,0.0,0.0,0.02,2.0
dap,1,80,0.4090909090909091,22,9,0.4,20,8,0.2894736842105263,38,11,0.375,24,0.25806451612903225,31,0.44,25,0.35,0.7875,0.02,2.0
dap,2,17,0.75,4,3,0.0,5,0,0.0,8,0,0.21428571428571427,14,,0,0.0,3,0.17647058823529413,0.23529411764705882,0.02,2.0
dap,3,2,,0,0,0.0,1,0,0.0,1,0,0.0,2,,0,,0,0.0,0.0,0.02,2.0
dap,4,10,1.0,2,2,0.0,3,0,0.0,5,0,0.2,10,,0,,0,0.2,0.0,0.02,2.0
mop,0,2,1.0,1,1,0.0,1,0,,0,0,0.5,2,,0,,0,0.5,0.0,0.02,2.0
mop,1,66,0.375,8,3,0.2608695652173913,23,6,0.37142857142857144,35,13,0.1111111111111111,27,0.35294117647058826,17,0.5909090909090909,22,0.3333333333333333,0.6666666666666666,0.02,2.0
mop,2,32,0.375,8,3,0.25,8,2,0.5625,16,9,0.2727272727272727,11,0.3333333333333333,6,0.6,15,0.4375,0.125,0.02,2.0
mop,3,4,0.0,1,0,0.5,2,1,1.0,1,1,,0,0.5,2,0.5,2,0.5,0.0,0.02,2.0
mop,4,7,0.0,1,0,0.0,5,0,0.0,1,0,0.0,6,,0,0.0,1,0.0,0.0,0.02,2.0
