flat_threshold,flat_threshold_pct,variant,product,tp,fp,fn,precision_flat,recall_flat,n_true_flat,n_pred_flat
0.001,0.1,1,urea,0,3,1,0.0,0.0,1,3
0.001,0.1,1,dap,0,3,0,0.0,,0,3
0.001,0.1,1,mop,0,6,0,0.0,,0,6
0.001,0.1,2,urea,0,5,1,0.0,0.0,1,5
0.001,0.1,2,dap,0,7,0,0.0,,0,7
0.001,0.1,2,mop,0,12,0,0.0,,0,12
0.001,0.1,3,urea,0,16,1,0.0,0.0,1,16
0.001,0.1,3,dap,0,11,0,0.0,,0,11
0.001,0.1,3,mop,0,21,0,0.0,,0,21
0.0022564102564102562,0.22564102564102562,1,urea,0,3,2,0.0,0.0,2,3
0.0022564102564102562,0.22564102564102562,1,dap,0,3,6,0.0,0.0,6,3
0.0022564102564102562,0.22564102564102562,1,mop,1,5,2,0.16666666666666666,0.3333333333333333,3,6
0.0022564102564102562,0.22564102564102562,2,urea,0,5,2,0.0,0.0,2,5
0.0022564102564102562,0.22564102564102562,2,dap,0,7,6,0.0,0.0,6,7
0.0022564102564102562,0.22564102564102562,2,mop,0,12,3,0.0,0.0,3,12
0.0022564102564102562,0.22564102564102562,3,urea,0,16,2,0.0,0.0,2,16
0.0022564102564102562,0.22564102564102562,3,dap,2,9,4,0.18181818181818182,0.3333333333333333,6,11
0.0022564102564102562,0.22564102564102562,3,mop,0,21,3,0.0,0.0,3,21
0.003512820512820513,0.3512820512820513,1,urea,0,3,3,0.0,0.0,3,3
0.003512820512820513,0.3512820512820513,1,dap,0,3,11,0.0,0.0,11,3
0.003512820512820513,0.3512820512820513,1,mop,1,5,7,0.16666666666666666,0.125,8,6
0.003512820512820513,0.3512820512820513,2,urea,0,5,3,0.0,0.0,3,5
0.003512820512820513,0.3512820512820513,2,dap,0,7,11,0.0,0.0,11,7
0.003512820512820513,0.3512820512820513,2,mop,0,12,8,0.0,0.0,8,12
0.003512820512820513,0.3512820512820513,3,urea,0,16,3,0.0,0.0,3,16
0.003512820512820513,0.3512820512820513,3,dap,2,9,9,0.18181818181818182,0.18181818181818182,11,11
0.003512820512820513,0.3512820512820513,3,mop,2,19,6,0.09523809523809523,0.25,8,21
0.0047692307692307695,0.47692307692307695,1,urea,0,3,6,0.0,0.0,6,3
0.0047692307692307695,0.47692307692307695,1,dap,0,3,16,0.0,0.0,16,3
0.0047692307692307695,0.47692307692307695,1,mop,1,5,10,0.16666666666666666,0.09090909090909091,11,6
0.0047692307692307695,0.47692307692307695,2,urea,0,5,6,0.0,0.0,6,5
0.0047692307692307695,0.47692307692307695,2,dap,0,7,16,0.0,0.0,16,7
0.0047692307692307695,0.47692307692307695,2,mop,0,12,11,0.0,0.0,11,12
0.0047692307692307695,0.47692307692307695,3,urea,0,16,6,0.0,0.0,6,16
0.0047692307692307695,0.47692307692307695,3,dap,2,9,14,0.18181818181818182,0.125,16,11
0.0047692307692307695,0.47692307692307695,3,mop,3,18,8,0.14285714285714285,0.2727272727272727,11,21
0.006025641025641026,0.6025641025641025,1,urea,0,3,7,0.0,0.0,7,3
0.006025641025641026,0.6025641025641025,1,dap,0,3,19,0.0,0.0,19,3
0.006025641025641026,0.6025641025641025,1,mop,1,5,14,0.16666666666666666,0.06666666666666667,15,6
0.006025641025641026,0.6025641025641025,2,urea,1,4,6,0.2,0.14285714285714285,7,5
0.006025641025641026,0.6025641025641025,2,dap,0,7,19,0.0,0.0,19,7
0.006025641025641026,0.6025641025641025,2,mop,0,12,15,0.0,0.0,15,12
0.006025641025641026,0.6025641025641025,3,urea,0,16,7,0.0,0.0,7,16
0.006025641025641026,0.6025641025641025,3,dap,2,9,17,0.18181818181818182,0.10526315789473684,19,11
0.006025641025641026,0.6025641025641025,3,mop,4,17,11,0.19047619047619047,0.26666666666666666,15,21
0.007282051282051282,0.7282051282051282,1,urea,0,3,10,0.0,0.0,10,3
0.007282051282051282,0.7282051282051282,1,dap,0,3,22,0.0,0.0,22,3
0.007282051282051282,0.7282051282051282,1,mop,1,5,19,0.16666666666666666,0.05,20,6
0.007282051282051282,0.7282051282051282,2,urea,1,4,9,0.2,0.1,10,5
0.007282051282051282,0.7282051282051282,2,dap,0,7,22,0.0,0.0,22,7
0.007282051282051282,0.7282051282051282,2,mop,0,12,20,0.0,0.0,20,12
0.007282051282051282,0.7282051282051282,3,urea,1,15,9,0.0625,0.1,10,16
0.007282051282051282,0.7282051282051282,3,dap,2,9,20,0.18181818181818182,0.09090909090909091,22,11
0.007282051282051282,0.7282051282051282,3,mop,4,17,16,0.19047619047619047,0.2,20,21
0.00853846153846154,0.853846153846154,1,urea,0,3,11,0.0,0.0,11,3
0.00853846153846154,0.853846153846154,1,dap,0,3,24,0.0,0.0,24,3
0.00853846153846154,0.853846153846154,1,mop,1,5,28,0.16666666666666666,0.034482758620689655,29,6
0.00853846153846154,0.853846153846154,2,urea,1,4,10,0.2,0.09090909090909091,11,5
0.00853846153846154,0.853846153846154,2,dap,0,7,24,0.0,0.0,24,7
0.00853846153846154,0.853846153846154,2,mop,1,11,28,0.08333333333333333,0.034482758620689655,29,12
0.00853846153846154,0.853846153846154,3,urea,1,15,10,0.0625,0.09090909090909091,11,16
0.00853846153846154,0.853846153846154,3,dap,2,9,22,0.18181818181818182,0.08333333333333333,24,11
0.00853846153846154,0.853846153846154,3,mop,5,16,24,0.23809523809523808,0.1724137931034483,29,21
0.009794871794871794,0.9794871794871793,1,urea,0,3,15,0.0,0.0,15,3
0.009794871794871794,0.9794871794871793,1,dap,0,3,30,0.0,0.0,30,3
0.009794871794871794,0.9794871794871793,1,mop,1,5,31,0.16666666666666666,0.03125,32,6
0.009794871794871794,0.9794871794871793,2,urea,2,3,13,0.4,0.13333333333333333,15,5
0.009794871794871794,0.9794871794871793,2,dap,0,7,30,0.0,0.0,30,7
0.009794871794871794,0.9794871794871793,2,mop,1,11,31,0.08333333333333333,0.03125,32,12
0.009794871794871794,0.9794871794871793,3,urea,2,14,13,0.125,0.13333333333333333,15,16
0.009794871794871794,0.9794871794871793,3,dap,3,8,27,0.2727272727272727,0.1,30,11
0.009794871794871794,0.9794871794871793,3,mop,5,16,27,0.23809523809523808,0.15625,32,21
0.01,1.0,1,urea,0,3,15,0.0,0.0,15,3
0.01,1.0,1,dap,0,3,30,0.0,0.0,30,3
0.01,1.0,1,mop,1,5,31,0.16666666666666666,0.03125,32,6
0.01,1.0,2,urea,2,3,13,0.4,0.13333333333333333,15,5
0.01,1.0,2,dap,0,7,30,0.0,0.0,30,7
0.01,1.0,2,mop,1,11,31,0.08333333333333333,0.03125,32,12
0.01,1.0,3,urea,2,14,13,0.125,0.13333333333333333,15,16
0.01,1.0,3,dap,3,8,27,0.2727272727272727,0.1,30,11
0.01,1.0,3,mop,5,16,27,0.23809523809523808,0.15625,32,21
0.01105128205128205,1.105128205128205,1,urea,0,3,15,0.0,0.0,15,3
0.01105128205128205,1.105128205128205,1,dap,0,3,32,0.0,0.0,32,3
0.01105128205128205,1.105128205128205,1,mop,1,5,34,0.16666666666666666,0.02857142857142857,35,6
0.01105128205128205,1.105128205128205,2,urea,2,3,13,0.4,0.13333333333333333,15,5
0.01105128205128205,1.105128205128205,2,dap,1,6,31,0.14285714285714285,0.03125,32,7
0.01105128205128205,1.105128205128205,2,mop,1,11,34,0.08333333333333333,0.02857142857142857,35,12
0.01105128205128205,1.105128205128205,3,urea,2,14,13,0.125,0.13333333333333333,15,16
0.01105128205128205,1.105128205128205,3,dap,3,8,29,0.2727272727272727,0.09375,32,11
0.01105128205128205,1.105128205128205,3,mop,6,15,29,0.2857142857142857,0.17142857142857143,35,21
0.012307692307692308,1.2307692307692308,1,urea,0,3,19,0.0,0.0,19,3
0.012307692307692308,1.2307692307692308,1,dap,0,3,35,0.0,0.0,35,3
0.012307692307692308,1.2307692307692308,1,mop,1,5,34,0.16666666666666666,0.02857142857142857,35,6
0.012307692307692308,1.2307692307692308,2,urea,2,3,17,0.4,0.10526315789473684,19,5
0.012307692307692308,1.2307692307692308,2,dap,1,6,34,0.14285714285714285,0.02857142857142857,35,7
0.012307692307692308,1.2307692307692308,2,mop,1,11,34,0.08333333333333333,0.02857142857142857,35,12
0.012307692307692308,1.2307692307692308,3,urea,3,13,16,0.1875,0.15789473684210525,19,16
0.012307692307692308,1.2307692307692308,3,dap,3,8,32,0.2727272727272727,0.08571428571428572,35,11
0.012307692307692308,1.2307692307692308,3,mop,6,15,29,0.2857142857142857,0.17142857142857143,35,21
0.013564102564102565,1.3564102564102565,1,urea,0,3,20,0.0,0.0,20,3
0.013564102564102565,1.3564102564102565,1,dap,0,3,38,0.0,0.0,38,3
0.013564102564102565,1.3564102564102565,1,mop,1,5,34,0.16666666666666666,0.02857142857142857,35,6
0.013564102564102565,1.3564102564102565,2,urea,2,3,18,0.4,0.1,20,5
0.013564102564102565,1.3564102564102565,2,dap,1,6,37,0.14285714285714285,0.02631578947368421,38,7
0.013564102564102565,1.3564102564102565,2,mop,1,11,34,0.08333333333333333,0.02857142857142857,35,12
0.013564102564102565,1.3564102564102565,3,urea,3,13,17,0.1875,0.15,20,16
0.013564102564102565,1.3564102564102565,3,dap,4,7,34,0.36363636363636365,0.10526315789473684,38,11
0.013564102564102565,1.3564102564102565,3,mop,6,15,29,0.2857142857142857,0.17142857142857143,35,21
0.014820512820512822,1.4820512820512821,1,urea,0,3,23,0.0,0.0,23,3
0.014820512820512822,1.4820512820512821,1,dap,0,3,45,0.0,0.0,45,3
0.014820512820512822,1.4820512820512821,1,mop,1,5,35,0.16666666666666666,0.027777777777777776,36,6
0.014820512820512822,1.4820512820512821,2,urea,2,3,21,0.4,0.08695652173913043,23,5
0.014820512820512822,1.4820512820512821,2,dap,2,5,43,0.2857142857142857,0.044444444444444446,45,7
0.014820512820512822,1.4820512820512821,2,mop,1,11,35,0.08333333333333333,0.027777777777777776,36,12
0.014820512820512822,1.4820512820512821,3,urea,3,13,20,0.1875,0.13043478260869565,23,16
0.014820512820512822,1.4820512820512821,3,dap,5,6,40,0.45454545454545453,0.1111111111111111,45,11
0.014820512820512822,1.4820512820512821,3,mop,7,14,29,0.3333333333333333,0.19444444444444445,36,21
0.01607692307692308,1.607692307692308,1,urea,0,3,23,0.0,0.0,23,3
0.01607692307692308,1.607692307692308,1,dap,0,3,45,0.0,0.0,45,3
0.01607692307692308,1.607692307692308,1,mop,1,5,35,0.16666666666666666,0.027777777777777776,36,6
0.01607692307692308,1.607692307692308,2,urea,2,3,21,0.4,0.08695652173913043,23,5
0.01607692307692308,1.607692307692308,2,dap,2,5,43,0.2857142857142857,0.044444444444444446,45,7
0.01607692307692308,1.607692307692308,2,mop,1,11,35,0.08333333333333333,0.027777777777777776,36,12
0.01607692307692308,1.607692307692308,3,urea,3,13,20,0.1875,0.13043478260869565,23,16
0.01607692307692308,1.607692307692308,3,dap,5,6,40,0.45454545454545453,0.1111111111111111,45,11
0.01607692307692308,1.607692307692308,3,mop,7,14,29,0.3333333333333333,0.19444444444444445,36,21
0.017333333333333336,1.7333333333333336,1,urea,0,3,24,0.0,0.0,24,3
0.017333333333333336,1.7333333333333336,1,dap,0,3,46,0.0,0.0,46,3
0.017333333333333336,1.7333333333333336,1,mop,1,5,37,0.16666666666666666,0.02631578947368421,38,6
0.017333333333333336,1.7333333333333336,2,urea,2,3,22,0.4,0.08333333333333333,24,5
0.017333333333333336,1.7333333333333336,2,dap,3,4,43,0.42857142857142855,0.06521739130434782,46,7
0.017333333333333336,1.7333333333333336,2,mop,1,11,37,0.08333333333333333,0.02631578947368421,38,12
0.017333333333333336,1.7333333333333336,3,urea,4,12,20,0.25,0.16666666666666666,24,16
0.017333333333333336,1.7333333333333336,3,dap,5,6,41,0.45454545454545453,0.10869565217391304,46,11
0.017333333333333336,1.7333333333333336,3,mop,7,14,31,0.3333333333333333,0.18421052631578946,38,21
0.01858974358974359,1.858974358974359,1,urea,0,3,24,0.0,0.0,24,3
0.01858974358974359,1.858974358974359,1,dap,0,3,49,0.0,0.0,49,3
0.01858974358974359,1.858974358974359,1,mop,2,4,43,0.3333333333333333,0.044444444444444446,45,6
0.01858974358974359,1.858974358974359,2,urea,2,3,22,0.4,0.08333333333333333,24,5
0.01858974358974359,1.858974358974359,2,dap,3,4,46,0.42857142857142855,0.061224489795918366,49,7
0.01858974358974359,1.858974358974359,2,mop,1,11,44,0.08333333333333333,0.022222222222222223,45,12
0.01858974358974359,1.858974358974359,3,urea,4,12,20,0.25,0.16666666666666666,24,16
0.01858974358974359,1.858974358974359,3,dap,5,6,44,0.45454545454545453,0.10204081632653061,49,11
0.01858974358974359,1.858974358974359,3,mop,7,14,38,0.3333333333333333,0.15555555555555556,45,21
0.019846153846153847,1.9846153846153847,1,urea,0,3,26,0.0,0.0,26,3
0.019846153846153847,1.9846153846153847,1,dap,0,3,49,0.0,0.0,49,3
0.019846153846153847,1.9846153846153847,1,mop,2,4,44,0.3333333333333333,0.043478260869565216,46,6
0.019846153846153847,1.9846153846153847,2,urea,2,3,24,0.4,0.07692307692307693,26,5
0.019846153846153847,1.9846153846153847,2,dap,3,4,46,0.42857142857142855,0.061224489795918366,49,7
0.019846153846153847,1.9846153846153847,2,mop,2,10,44,0.16666666666666666,0.043478260869565216,46,12
0.019846153846153847,1.9846153846153847,3,urea,4,12,22,0.25,0.15384615384615385,26,16
0.019846153846153847,1.9846153846153847,3,dap,5,6,44,0.45454545454545453,0.10204081632653061,49,11
0.019846153846153847,1.9846153846153847,3,mop,7,14,39,0.3333333333333333,0.15217391304347827,46,21
0.021102564102564104,2.1102564102564103,1,urea,0,3,28,0.0,0.0,28,3
0.021102564102564104,2.1102564102564103,1,dap,0,3,50,0.0,0.0,50,3
0.021102564102564104,2.1102564102564103,1,mop,2,4,45,0.3333333333333333,0.0425531914893617,47,6
0.021102564102564104,2.1102564102564103,2,urea,2,3,26,0.4,0.07142857142857142,28,5
0.021102564102564104,2.1102564102564103,2,dap,3,4,47,0.42857142857142855,0.06,50,7
0.021102564102564104,2.1102564102564103,2,mop,2,10,45,0.16666666666666666,0.0425531914893617,47,12
0.021102564102564104,2.1102564102564103,3,urea,5,11,23,0.3125,0.17857142857142858,28,16
0.021102564102564104,2.1102564102564103,3,dap,5,6,45,0.45454545454545453,0.1,50,11
0.021102564102564104,2.1102564102564103,3,mop,8,13,39,0.38095238095238093,0.1702127659574468,47,21
0.02235897435897436,2.235897435897436,1,urea,1,2,32,0.3333333333333333,0.030303030303030304,33,3
0.02235897435897436,2.235897435897436,1,dap,0,3,50,0.0,0.0,50,3
0.02235897435897436,2.235897435897436,1,mop,2,4,46,0.3333333333333333,0.041666666666666664,48,6
