news_date,prediction_date,news_count,predicted_urea_strategy,predicted_dap_strategy,predicted_mop_strategy,latency_sec,token_usage_total,token_usage,actual_urea_strategy,urea_strategy_match,actual_dap_strategy,dap_strategy_match,actual_mop_strategy,mop_strategy_match,urea_return_pct,urea_predicted_pnl,urea_actual_pnl,dap_return_pct,dap_predicted_pnl,dap_actual_pnl,mop_return_pct,mop_predicted_pnl,mop_actual_pnl,total_predicted_pnl,sum_predicted_pnl,total_actual_pnl,sum_actual_pnl
2020-01-06,2020-01-07,0,volatility,volatility,volatility,0.0,0,{},,,,,,,,,,,,,,,,,,,
2020-01-07,2020-01-08,0,volatility,volatility,volatility,0.0,0,{},,,,,,,,,,,,,,,,,,,
2020-01-08,2020-01-09,1,volatility,volatility,volatility,0.0,0,{},,,,,,,,,,,,,,,,,,,
2020-01-09,2020-01-10,0,volatility,volatility,volatility,0.0,0,{},,,,,,,,,,,,,,,,,,,
2020-01-10,2020-01-11,1,volatility,sell,volatility,0.0,0,{},,,,,,,,,,,,,,,,,,,
2020-01-11,2020-01-12,0,volatility,sell,volatility,0.0,0,{},,,,,,,,,,,,,,,,,,,
2020-01-12,2020-01-13,0,volatility,sell,volatility,0.0,0,{},sell,False,sell,True,volatility,True,-10.6237,0.0,0.10623678646934454,-5.9667,0.059666666666666646,0.059666666666666646,-1.379,0.0,0.0,0.059666666666666646,0.059666666666666646,0.16590345313601118,0.16590345313601118
2020-01-13,2020-01-14,0,volatility,sell,volatility,0.0,0,{},,,,,,,,,,,,,,,,,,,
2020-01-14,2020-01-15,0,volatility,sell,volatility,0.0,0,{},,,,,,,,,,,,,,,,,,,
2020-01-15,2020-01-16,0,volatility,sell,volatility,0.0,0,{},,,,,,,,,,,,,,,,,,,
2020-01-16,2020-01-17,0,volatility,sell,volatility,0.0,0,{},,,,,,,,,,,,,,,,,,,
2020-01-17,2020-01-18,0,volatility,sell,volatility,0.0,0,{},,,,,,,,,,,,,,,,,,,
2020-01-18,2020-01-19,1,volatility,sell,volatility,0.0,0,{},,,,,,,,,,,,,,,,,,,
2020-01-19,2020-01-20,0,volatility,sell,volatility,0.0,0,{},buy,False,volatility,False,buy,False,8.1017,0.0,0.08101714961561224,-1.861,0.018610421836228297,0.0,5.8554,0.0,0.05855363775398725,0.018610421836228297,0.018610421836228297,0.1395707873695995,0.1395707873695995
2020-01-20,2020-01-21,0,volatility,sell,volatility,0.0,0,{},,,,,,,,,,,,,,,,,,,
2020-01-21,2020-01-22,0,volatility,sell,volatility,0.0,0,{},,,,,,,,,,,,,,,,,,,
2020-01-22,2020-01-23,0,volatility,sell,volatility,0.0,0,{},,,,,,,,,,,,,,,,,,,
2020-01-23,2020-01-24,0,volatility,sell,volatility,0.0,0,{},,,,,,,,,,,,,,,,,,,
2020-01-24,2020-01-25,0,volatility,sell,volatility,0.0,0,{},,,,,,,,,,,,,,,,,,,
2020-01-25,2020-01-26,0,volatility,sell,volatility,0.0,0,{},,,,,,,,,,,,,,,,,,,
2020-01-26,2020-01-27,0,volatility,sell,volatility,0.0,0,{},volatility,True,volatility,False,buy,False,0.465,0.0,0.0,1.9144,-0.01914394076214543,0.0,8.194,0.0,0.08194014447884435,-0.01914394076214543,-0.01914394076214543,0.08194014447884435,0.08194014447884435
2020-01-27,2020-01-28,0,volatility,sell,volatility,0.0,0,{},,,,,,,,,,,,,,,,,,,
2020-01-28,2020-01-29,0,volatility,sell,volatility,0.0,0,{},,,,,,,,,,,,,,,,,,,
2020-01-29,2020-01-30,0,volatility,sell,volatility,0.0,0,{},,,,,,,,,,,,,,,,,,,
2020-01-30,2020-01-31,0,volatility,sell,volatility,0.0,0,{},,,,,,,,,,,,,,,,,,,
2020-01-31,2020-02-01,0,volatility,sell,volatility,0.0,0,{},,,,,,,,,,,,,,,,,,,
2020-02-01,2020-02-02,0,volatility,sell,volatility,0.0,0,{},,,,,,,,,,,,,,,,,,,
2020-02-02,2020-02-03,0,volatility,sell,volatility,0.0,0,{},sell,False,buy,False,sell,False,-2.3686,0.0,0.023686359923767997,2.5341,-0.025341130604288553,0.025341130604288553,-6.7531,0.0,0.06753147653567348,-0.025341130604288553,-0.025341130604288553,0.11655896706373003,0.11655896706373003
2020-02-03,2020-02-04,0,volatility,sell,volatility,0.0,0,{},,,,,,,,,,,,,,,,,,,
2020-02-04,2020-02-05,0,volatility,sell,volatility,0.0,0,{},,,,,,,,,,,,,,,,,,,
2020-02-05,2020-02-06,0,volatility,sell,volatility,0.0,0,{},,,,,,,,,,,,,,,,,,,
2020-02-06,2020-02-07,0,volatility,sell,volatility,0.0,0,{},,,,,,,,,,,,,,,,,,,
2020-02-07,2020-02-08,0,volatility,sell,volatility,0.0,0,{},,,,,,,,,,,,,,,,,,,
2020-02-08,2020-02-09,0,volatility,sell,volatility,0.0,0,{},,,,,,,,,,,,,,,,,,,
2020-02-09,2020-02-10,0,volatility,sell,volatility,0.0,0,{},buy,False,buy,False,volatility,True,5.3542,0.0,0.053541550474065724,3.906,-0.0390597995160733,0.0390597995160733,-1.3298,0.0,0.0,-0.0390597995160733,-0.0390597995160733,0.09260134999013903,0.09260134999013903
2020-02-10,2020-02-11,0,volatility,sell,volatility,0.0,0,{},,,,,,,,,,,,,,,,,,,
2020-02-11,2020-02-12,0,volatility,sell,volatility,0.0,0,{},,,,,,,,,,,,,,,,,,,
2020-02-12,2020-02-13,0,volatility,sell,volatility,0.0,0,{},,,,,,,,,,,,,,,,,,,
