news_date,source,headline,price_date_base,price_date_next,urea_abs_pct,dap_abs_pct,mop_abs_pct
2020-01-08,Интерфакс,Опубликован годовой ESG-отчёт компании,2020-01-13,2020-01-20,0.081017,0.018610,0.058554
2020-01-10,CRU,DAP дешевеет из-за слабого спроса в Индии,2020-01-13,2020-01-20,0.081017,0.018610,0.058554
2020-01-18,Профильный телеграм-канал,"Ставки фрахта снижаются, логистика дешевеет",2020-01-20,2020-01-27,0.004650,0.019144,0.081940
2020-03-12,ICIS,Котировки аммиака пошли вниз на фоне слабого спроса,2020-03-16,2020-03-23,0.097864,0.031442,0.037492
2020-03-14,CRU,Компания провела ежегодный день инвестора,2020-03-16,2020-03-23,0.097864,0.031442,0.037492
2020-03-18,CRU,Высокие цены на агрокультуры стимулируют закупки удобрений фермерами,2020-03-23,2020-03-30,0.024887,0.015739,0.042086
2020-03-20,Argus,DAP дешевеет из-за слабого спроса в Индии,2020-03-23,2020-03-30,0.024887,0.015739,0.042086
2020-04-04,Bloomberg,Нарушение цепочек поставок: контейнеры подорожали в разы,2020-04-06,2020-04-13,0.013675,0.031523,0.064405
2020-04-06,Argus,Компания провела ежегодный день инвестора,2020-04-06,2020-04-13,0.013675,0.031523,0.064405
2020-04-08,CRU,Высокие цены на агрокультуры стимулируют закупки удобрений фермерами,2020-04-13,2020-04-20,0.015900,0.012781,0.119188
2020-04-17,Коммерсантъ,Производители аммиака объявили о сокращении мощностей,2020-04-20,2020-04-27,0.005928,0.049370,0.094702
2020-04-18,CRU,Дефицит калия на ключевых рынках толкает цены вверх,2020-04-20,2020-04-27,0.005928,0.049370,0.094702
2020-05-13,Bloomberg,Отраслевая конференция по удобрениям пройдёт в следующем месяце,2020-05-18,2020-05-25,0.012643,0.058196,0.028669
2020-05-21,Коммерсантъ,"Поставки хлористого калия сорваны, цены MOP идут вверх",2020-05-25,2020-06-01,0.079537,0.039307,0.020659
2020-05-27,ICIS,"Ставки фрахта снижаются, логистика дешевеет",2020-06-01,2020-06-08,0.079989,0.026800,0.026866
2020-06-04,Bloomberg,Высокие цены на агрокультуры стимулируют закупки удобрений фермерами,2020-06-08,2020-06-15,0.072083,0.009744,0.030879
2020-06-04,Профильный телеграм-канал,Ставки морского фрахта взлетели из-за перегрузки портов,2020-06-08,2020-06-15,0.072083,0.009744,0.030879
2020-06-13,Профильный телеграм-канал,Ставки морского фрахта взлетели из-за перегрузки портов,2020-06-15,2020-06-22,0.102588,0.036549,0.053759
2020-06-25,Argus,"Поставки хлористого калия сорваны, цены MOP идут вверх",2020-06-29,2020-07-06,0.031608,0.022875,0.082954
2020-06-26,Argus,DAP дешевеет из-за слабого спроса в Индии,2020-06-29,2020-07-06,0.031608,0.022875,0.082954
2020-07-01,ICIS,Опубликован годовой ESG-отчёт компании,2020-07-06,2020-07-13,0.055278,0.045783,0.031736
2020-07-10,CRU,Производители аммиака объявили о сокращении мощностей,2020-07-13,2020-07-20,0.079131,0.012628,0.031215
2020-07-18,CRU,"Поставки калия восстанавливаются, цены MOP снижаются",2020-07-20,2020-07-27,0.001291,0.041570,0.044419
2020-07-21,ICIS,"Ставки фрахта снижаются, логистика дешевеет",2020-07-27,2020-08-03,0.003878,0.022669,0.027545
2020-08-12,Argus,Дефицит калия на ключевых рынках толкает цены вверх,2020-08-17,2020-08-24,0.005585,0.036750,0.028779
2020-08-17,Интерфакс,Локдауны бьют по логистике и спросу на удобрения,2020-08-17,2020-08-24,0.005585,0.036750,0.028779
2020-08-24,Профильный телеграм-канал,Производители аммиака объявили о сокращении мощностей,2020-08-24,2020-08-31,0.047996,0.086741,0.012072
2020-08-26,Reuters,DAP дешевеет из-за слабого спроса в Индии,2020-08-31,2020-09-07,0.057491,0.055101,0.017552
2020-10-30,CRU,Подписан меморандум о научном сотрудничестве с вузом,2020-11-02,2020-11-09,0.101973,0.073868,0.034567
2020-11-06,ICIS,Цены на DAP растут на фоне крепкого спроса в Южной Азии,2020-11-09,2020-11-16,0.038516,0.038424,0.021418
2020-11-23,CRU,"Поставки калия восстанавливаются, цены MOP снижаются",2020-11-23,2020-11-30,0.138283,0.019713,0.047332
2020-11-24,Reuters,Снижение цен на серу тянет вниз котировки фосфатных удобрений,2020-11-30,2020-12-07,0.005975,0.005631,0.046168
2020-11-27,Коммерсантъ,Девальвация рубля повышает экспортную привлекательность удобрений,2020-11-30,2020-12-07,0.005975,0.005631,0.046168
2020-12-10,Bloomberg,Рост цен на зерно поддерживает спрос на удобрения,2020-12-14,2020-12-21,0.058020,0.034676,0.058636
2020-12-24,Bloomberg,"Поставки хлористого калия сорваны, цены MOP идут вверх",2020-12-28,2021-01-04,0.071647,0.009501,0.041846
2021-01-15,Argus,Котировки аммиака пошли вниз на фоне слабого спроса,2021-01-18,2021-01-25,0.045033,0.009113,0.048006
2021-01-15,Reuters,Фосфатное сырьё дорожает вслед за серой,2021-01-18,2021-01-25,0.045033,0.009113,0.048006
2021-01-21,ICIS,Введены ограничения на экспорт калия — рынок ждёт дефицита,2021-01-25,2021-02-01,0.012066,0.013138,0.108977
2021-02-01,ICIS,Стабилизация рубля снижает экспортные премии,2021-02-01,2021-02-08,0.035145,0.024477,0.002073
2021-02-04,ICIS,Цены на DAP растут на фоне крепкого спроса в Южной Азии,2021-02-08,2021-02-15,0.016792,0.011709,0.017449
2021-02-15,CRU,Новые контракты по калию заключены ниже рынка,2021-02-15,2021-02-22,0.065686,0.004323,0.067783
2021-02-19,Коммерсантъ,Логистические издержки растут — дорожает доставка удобрений,2021-02-22,2021-03-01,0.034517,0.045433,0.004780
